iter	Passed	Remaining
653	65014	34396
654	65101	34290
655	65191	34185
656	65301	34091
657	65394	33989
658	65491	33888
659	65610	33799
660	65707	33698
661	65808	33599
662	65887	33490
663	65974	33384
664	66070	33283
665	66152	33175
666	66244	33072
667	66336	32969
668	66437	32871
669	66513	32760
670	66606	32658
671	66725	32568
672	66829	32471
673	66917	32366
674	67037	32277
675	67120	32170
676	67223	32072
677	67338	31980
678	67430	31877
679	67526	31777
680	67632	31681
681	67740	31585
682	67842	31487
683	67935	31385
684	68033	31285
685	68124	31182
686	68205	31074
687	68292	30969
688	68406	30877
689	68519	30783
690	68622	30686
691	68721	30586
692	68800	30478
693	68930	30392
694	68996	30279
695	69091	30177
696	69180	30073
697	69288	29978
698	69371	29872
699	69494	29783
700	69598	29686
701	69689	29583
702	69763	29473
703	69871	29377
704	69981	29283
705	70088	29187
706	70214	29098
707	70296	28992
708	70428	28906
709	70522	28805
710	70622	28705
711	70728	28609
712	70824	28508
713	70935	28413
714	71037	28315
715	71128	28212
716	71222	28111
717	71329	28015
718	71426	27915
719	71506	27808
720	71621	27714
721	71719	27615
722	71814	27514
723	71909	27412
724	72003	27311
725	72103	27212
726	72192	27109
727	72279	27005
728	72385	26908
729	72481	26808
730	72573	26706
731	72667	26604
732	72758	26502
733	72830	26393
734	72918	26290
735	73002	26185
736	73108	26088
737	73227	25996
738	73312	25892
739	73423	25797
740	73531	25701
741	73613	25596
742	73712	25496
743	73833	25404
744	73936	25307
745	74056	25214
746	74178	25123
747	74294	25029
748	74399	24932
749	74510	24836
750	74602	24735
751	74692	24632
752	74786	24531
753	74888	24433
754	74982	24332
755	75085	24233
756	75168	24129
757	75258	24027
758	75351	23925
759	75447	23825
760	75566	23732
761	75673	23635
762	75754	23530
763	75849	23429
764	75933	23325
765	76016	23221
766	76140	23130
767	76242	23031
768	76375	22942
769	76474	22843
770	76590	22748
771	76696	22651
772	76807	22555
773	76893	22451
774	76994	22353
775	77087	22252
776	77171	22148
777	77298	22056
778	77398	21957
779	77485	21854
780	77590	21757
781	77679	21655
782	77781	21556
783	77880	21456
784	77989	21360
785	78094	21262
786	78196	21163
787	78281	21060
788	78380	20960
789	78465	20857
790	78556	20756
791	78637	20652
792	78760	20559
793	78852	20458
794	78944	20356
795	79054	20260
796	79142	20157
797	79232	20056
798	79343	19960
799	79434	19858
800	79513	19754
801	79640	19661
802	79732	19560
803	79819	19458
804	79925	19360
805	80001	19255
806	80099	19156
807	80220	19062
808	80320	18963
809	80409	18861
810	80495	18759
811	80597	18660
812	80704	18563
813	80774	18457
814	80875	18358
815	80978	18259
816	81085	18162
817	81174	18060
818	81255	17957
819	81337	17854
820	81436	17755
821	81530	17654
822	81628	17555
823	81717	17454
824	81811	17353
825	81905	17253
826	81998	17153
827	82081	17050
828	82159	16947
829	82243	16845
830	82341	16745
831	82423	16643
832	82511	16541
833	82609	16442
834	82691	16340
835	82772	16237
836	82858	16136
837	82932	16032
838	83003	15928
839	83074	15823
840	83156	15721
841	83234	15618
842	83302	15514
843	83364	15408
844	83447	15307
845	83533	15205
846	83612	15103
847	83676	14998
848	83757	14896
849	83835	14794
850	83910	14691
851	83975	14587
852	84030	14481
853	84103	14378
854	84164	14273
855	84226	14168
856	84302	14066
857	84383	13965
858	84458	13863
859	84502	13756
860	84534	13647
861	84567	13538
862	84595	13429
863	84619	13319
864	84643	13210
865	84666	13100
866	84690	12991
867	84714	12882
868	84737	12774
869	84760	12665
870	84799	12559
871	84882	12459
872	84965	12360
873	85035	12259
874	85110	12158
875	85174	12056
876	85233	11954
877	85296	11852
878	85377	11752
879	85436	11650
880	85513	11550
881	85573	11448
882	85644	11348
883	85707	11246
884	85790	11147
885	85869	11048
886	85934	10947
887	86011	10848
888	86063	10745
889	86145	10647
890	86211	10546
891	86285	10447
892	86353	10346
893	86421	10246
894	86492	10147
895	86566	10047
896	86625	9946
897	86690	9846
898	86769	9748
899	86845	9649
900	86916	9550
901	86972	9449
902	87036	9349
903	87111	9250
904	87184	9151
905	87260	9053
906	87336	8955
907	87413	8856
908	87486	8758
909	87550	8658
910	87615	8559
911	87694	8461
912	87809	8367
913	87904	8271
914	88002	8175
915	88112	8080
916	88233	7986
917	88328	7889
918	88445	7795
919	88571	7701
920	88691	7607
921	88793	7511
922	88906	7416
923	88989	7319
924	89092	7223
925	89214	7129
926	89323	7034
927	89425	6938
928	89539	6843
929	89642	6747
930	89743	6651
931	89840	6554
932	89935	6458
933	90038	6362
934	90152	6267
935	90255	6171
936	90334	6073
937	90461	5979
938	90587	5884
939	90668	5787
940	90757	5690
941	90852	5593
942	90953	5497
943	91054	5401
944	91139	5304
945	91230	5207
946	91331	5111
947	91411	5014
948	91499	4917
949	91596	4820
950	91710	4725
951	91797	4628
952	91917	4533
953	92035	4437
954	92137	4341
955	92225	4244
956	92343	4149
957	92468	4053
958	92583	3958
959	92675	3861
960	92759	3764
961	92873	3668
962	92986	3572
963	93088	3476
964	93193	3380
965	93274	3282
966	93402	3187
967	93500	3090
968	93603	2994
969	93687	2897
970	93818	2801
971	93922	2705
972	94059	2610
973	94157	2513
974	94276	2417
975	94379	2320
976	94458	2223
977	94549	2126
978	94665	2030
979	94762	1933
980	94868	1837
981	94963	1740
982	95026	1643
983	95118	1546
984	95230	1450
985	95296	1353
986	95368	1256
987	95430	1159
988	95465	1061
989	95485	964
990	95508	867
991	95530	770
992	95551	673
993	95572	576
994	95593	480
995	95615	383
996	95637	287
997	95660	191
998	95682	95
999	95703	0
