iter	Logloss
0	0.6810681104
1	0.6688567083
2	0.6556340259
3	0.6438430664
4	0.6314536561
5	0.6226425113
6	0.6109807295
7	0.6020138025
8	0.5915209571
9	0.5832136124
10	0.5743689801
11	0.5643676195
12	0.5551433216
13	0.5461340218
14	0.5368298978
15	0.5285720108
16	0.5209186406
17	0.5154553496
18	0.5092489321
19	0.5032016199
20	0.4971990851
21	0.4908369879
22	0.4841277932
23	0.4779911092
24	0.4721675957
25	0.4667358081
26	0.4614812354
27	0.4572200725
28	0.4520130846
29	0.4473940124
30	0.4418779876
31	0.4372164324
32	0.4324877035
33	0.4278751446
34	0.4226614471
35	0.4191066056
36	0.4159936539
37	0.412654209
38	0.4089575757
39	0.4057546385
40	0.4022427482
41	0.3992802346
42	0.3961315021
43	0.3929685115
44	0.3906413602
45	0.3879929799
46	0.385443089
47	0.3833721892
48	0.3817323188
49	0.3792563879
50	0.3763564882
51	0.3730082611
52	0.3702886383
53	0.3685449836
54	0.3664874424
55	0.3645062869
56	0.3623397069
57	0.3599181079
58	0.3579964367
59	0.3553931653
60	0.3537061453
61	0.3518011446
62	0.3501724105
63	0.348347411
64	0.3469909998
65	0.3448676978
66	0.3433127266
67	0.3414532802
68	0.340150538
69	0.3384789265
70	0.3369088568
71	0.3350660455
72	0.3339263242
73	0.332263962
74	0.329935707
75	0.3278633928
76	0.3260182636
77	0.3242796305
78	0.3227650323
79	0.3203749426
80	0.3183693839
81	0.3170823089
82	0.315878443
83	0.3141865606
84	0.3129297977
85	0.3118253797
86	0.3103262836
87	0.3090566755
88	0.307816236
89	0.3065286396
90	0.3052103258
91	0.3043069278
92	0.3029241009
93	0.3017363762
94	0.300449676
95	0.299257684
96	0.2978587753
97	0.2968342815
98	0.295722685
99	0.2947237822
100	0.2938035655
101	0.2920485707
102	0.2911159121
103	0.289853931
104	0.2891656129
105	0.2883346342
106	0.2872106148
107	0.2865188837
108	0.2852470193
109	0.2842413734
110	0.2834072319
111	0.2821976449
112	0.2812399374
113	0.2801730216
114	0.2790834906
115	0.2780692301
116	0.2771766448
117	0.2762578968
118	0.2752201581
119	0.2747044264
120	0.2738186652
121	0.2730194977
122	0.2722306881
123	0.271537382
124	0.2705779782
125	0.2692744681
126	0.2685083655
127	0.2679091764
128	0.2670781491
129	0.2663349105
130	0.2655344077
131	0.2646894447
132	0.2641156475
133	0.2635966399
134	0.2628683455
135	0.2623514238
136	0.2617488438
137	0.2610764633
138	0.2603474566
139	0.2598853171
140	0.259227264
141	0.258575722
142	0.2579116228
143	0.2573019936
144	0.2566419977
145	0.256216964
146	0.2556027871
147	0.2552644878
148	0.2546728071
149	0.2539473711
150	0.2534447795
151	0.2526069585
152	0.2516918841
153	0.2508012541
154	0.250329657
155	0.249563089
156	0.2489255376
157	0.2484513848
158	0.2476081091
159	0.2471526173
160	0.2461342813
161	0.2454419727
162	0.2448207471
163	0.2442387381
164	0.2433509704
165	0.2427620156
166	0.2419861212
167	0.2413930442
168	0.2409657732
169	0.24021302
170	0.2395162949
171	0.2389421865
172	0.2385852204
173	0.2381215379
174	0.2376632056
175	0.2368644394
176	0.2362932276
177	0.2355065752
178	0.2345290013
179	0.234118184
180	0.2336403085
181	0.2330032987
182	0.2325836893
183	0.2321254939
184	0.2316798961
185	0.2309896194
186	0.2304001986
187	0.2298069336
188	0.2290968869
189	0.2283403949
190	0.2279840929
191	0.2275774188
192	0.2266605885
193	0.2263182754
194	0.2256959478
195	0.2252960552
196	0.224964069
197	0.2245500106
198	0.2242247463
199	0.2238351169
200	0.2233595146
201	0.2229337883
202	0.2226024421
203	0.2218811784
204	0.2214748879
205	0.2210836137
206	0.2207206277
207	0.2203254842
208	0.2197531652
209	0.2193625638
210	0.2190959867
211	0.2187837845
212	0.2184253967
213	0.2180434052
214	0.2177252249
215	0.2173193506
216	0.2168876663
217	0.2164801683
218	0.2160354701
219	0.2156168579
220	0.215260569
221	0.2145868082
222	0.2142216809
223	0.2139177594
224	0.213609363
225	0.213308461
226	0.2128622479
227	0.212448691
228	0.2120886064
229	0.2116738943
230	0.2112430574
231	0.2109375355
232	0.2105617964
233	0.2100813855
234	0.2096389662
235	0.2091632428
236	0.2088570044
237	0.2084838691
238	0.2082110946
239	0.2078583077
240	0.2073420771
241	0.2068850639
242	0.2064165315
243	0.2061527979
244	0.2056413759
245	0.205189062
246	0.2046857865
247	0.2042990967
248	0.2036857099
249	0.2030670159
250	0.2026782513
251	0.2022224631
252	0.2017362583
253	0.2015145237
254	0.2012072706
255	0.2005968009
256	0.2002833981
257	0.1998698264
258	0.1994695062
259	0.1988611406
260	0.198563271
261	0.1982440788
262	0.1979032034
263	0.1975272564
264	0.1972747619
265	0.1968733395
266	0.1964912294
267	0.1959723989
268	0.1956917223
269	0.1954066729
270	0.1949745455
271	0.194569537
272	0.1942243391
273	0.1939662651
274	0.1934609803
275	0.1931276568
276	0.1927887308
277	0.1924298173
278	0.1919520447
279	0.1916258793
280	0.1914480679
281	0.1910834238
282	0.1907269755
283	0.1903071321
284	0.1898092972
285	0.1892301574
286	0.1885529357
287	0.1881744033
288	0.1877940366
289	0.1874064746
290	0.1870892534
291	0.186732294
292	0.1864203004
293	0.1861813825
294	0.1858763264
295	0.1854886781
296	0.185033153
297	0.1843991859
298	0.1840758691
299	0.183783157
300	0.1834993022
301	0.1831339908
302	0.1828363154
303	0.1824380665
304	0.1820999544
305	0.1817621706
